sample,depth,sand,silt,clay,BD,porosity,KS_estimate,theta_sat,theta_res,alpha,n,tau,Ks_meas
300.3, 0.01, 2.16569526, 57.41017075, 40.42413399, 0.88, 0.67, 0.170123843, 0.71, 0.037, 3.66, 1.317, 1.007, 3.52E-05
453.3, 0.01, 2.236182865, 53.21204447, 44.55177266, 0.74, 0.72, 1.155642361, 0.721, 0, 3.76, 1.237, 3.48, 0.000096925
257.3, 0.02, 1.037442343, 60.22423901, 38.73831864, 0.95, 0.64, 1.643208333, 0.717, 0, 4.93, 1.216, 3.604, 0.0000212
248.3, 0.1, 1.117165656, 57.89476293, 40.98807142, 0.91, 0.66, 1.500761574, 0.691, 0, 4.67, 1.224, 0.41, 0.000436
465.3, 0.11, 1.135143598, 57.99717085, 40.86768555, 1.09, 0.59, 0.781988426, 0.626, 0, 6.3, 1.218, -0.991, 0.000123
470.3, 0.11, 0.78270589, 57.56680556, 41.65048854, 0.91, 0.66, 3.99862963, 0.668, 0, 11.55, 1.207, -0.025, 0.000300333
460.3, 0.21, 1.668652729, 54.60693396, 43.72441331, 0.9, 0.66, 1.374739583, 0.686, 0, 8.4, 1.231, -0.861, 0.000170667
474.3, 0.22, 1.302160503, 58.00417583, 40.69366366, 0.81, 0.69, 3.558207176, 0.623, 0, 11.37, 1.222, 0.098, 0.002006667
296.3, 0.22, 2.071691551, 59.73626815, 38.19204029, 0.92, 0.65, 0.006532407, 0.602, 0, 5.98, 1.22, -2, 0.000449
246.3, 0.32, 1.460303019, 57.51082672, 41.02887025, 1.27, 0.52, 0.002149306, 0.75, 0, 0.58, 1.313, -1.322, 0.000602667
287.3, 0.33, 1.80731374, 56.48192039, 41.71076587, 1.21, 0.54, 1.531581019, 0.513, 0, 12.82, 1.162, -2, 0.00253
254.3, 0.39, 1.408868729, 55.92040043, 42.67073083, 1.26, 0.52, 8.201793981, 0.515, 0, 3.06, 1.206, 4.248, 0.000223
252.3, 0.39, 2.536884578, 56.06215079, 41.40096466, 1.17, 0.56, 0.356355324, 0.527, 0, 4.3, 1.217, -2, 0.000497
462.3, 0.4, 1.437093609, 54.97507424, 43.58783216, 1.07, 0.6, 1.206361111, 0.54, 0, 7.17, 1.189, -2, 0.00101625
